tipo,score,name_sim,cat_sim,med_sim,est_sim,col_sim,mat_sim,fab_sim,cod_sim,des_sim,items_sim,precio_diff,precio_rel,costo_diff,costo_rel,id1,local1,nombre1,categoria1,medida1,estado1,color1,material1,fabricante1,codigo1,descripcion1,precio_venta1,precio_costo1,cantidad1,is_combo1,items_sig1,id2,local2,nombre2,categoria2,medida2,estado2,color2,material2,fabricante2,codigo2,descripcion2,precio_venta2,precio_costo2,cantidad2,is_combo2,items_sig2
combo,0.9993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956,0.0,0.0,0.0,0.0,598,Longchamps,conjunto colchon gold jackard con pillow,conjuntos,2 1/2 plazas,Nuevo,,espuma,taurus,,,605000.00,0.00,0,1,"box|box|2 1 2 plazas|nuevo|negro|taurus:1,colchon gold jackard con pillow|colchones|2 1 2 plazas|nuevo||taurus:1",635,Vidriera,conjunto colchon gold jackard con pillow,conjuntos,2 1/2 plazas,Nuevo,,espuma,taurus,,,605000.00,0.00,0,1,"box|box|2 1 2 plazas|nuevo|negro|taurus:1,colchon gold jackard con pillow|colchones|2 1 2 plazas|nuevo||taururs:1"
producto,0.9944,0.9787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76,Estacion,colchon standard 17 alto,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,105000.00,0.00,2,0,,220,Vidriera,colchon standard 17alto,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,105000.00,0.00,2,0,
producto,0.9933,1.0,1.0,1.0,1.0,1.0,1.0,0.9231,1.0,1.0,1.0,0.0,0.0,0.0,0.0,160,Longchamps,colchon gold jackard con pillow,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,480000.00,0.00,2,0,,240,Vidriera,colchon gold jackard con pillow,dormitorio,2 1/2 plazas,Nuevo,,espuma,taururs,,,480000.00,0.00,1,0,
producto,0.9923,0.9706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87000.0,0.1326,0.0,0.0,467,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,656000.00,0.00,1,0,,478,Longchamps,placard darkar 10 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,569000.00,0.00,1,0,
producto,0.9923,0.9706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87000.0,0.1326,0.0,0.0,468,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,656000.00,0.00,1,0,,479,Longchamps,placard darkar 10 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,569000.00,0.00,1,0,
producto,0.9921,0.9697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69000.0,0.1444,0.0,0.0,480,Longchamps,placard darkar 8 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,478000.00,0.00,2,0,,483,Longchamps,placard darkar 6 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,409000.00,0.00,1,0,
combo,0.9915,1.0,1.0,0.9091,1.0,1.0,1.0,1.0,1.0,1.0,0.9878,0.0,0.0,0.0,0.0,44,Estacion,combo quincho,jardin,"1,50m",Nuevo,,pino,ramon,,,115000.00,0.00,0,1,"banco plegable|bancos|1 50m|nuevo||ramon:2,mesa plegable|mesas|1 50m|nuevo||ramon:1",586,Vidriera,combo quincho,jardin,"1,50cm",Nuevo,,pino,ramon,,,115000.00,0.00,0,1,"banco plegable|bancos|1 50|nuevo||ramon:2,mesa plegable|mesas|1 50|nuevo||ramon:1"
combo,0.9915,1.0,1.0,0.9091,1.0,1.0,1.0,1.0,1.0,1.0,0.9878,0.0,0.0,0.0,0.0,191,Longchamps,combo quincho,jardin,"1,50m",Nuevo,,pino,ramon,,,115000.00,0.00,0,1,"banco plegable|bancos|1 50m|nuevo||ramon:2,mesa plegable|mesas|1 50m|nuevo||ramon:1",586,Vidriera,combo quincho,jardin,"1,50cm",Nuevo,,pino,ramon,,,115000.00,0.00,0,1,"banco plegable|bancos|1 50|nuevo||ramon:2,mesa plegable|mesas|1 50|nuevo||ramon:1"
combo,0.9904,0.9643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889,0.0,0.0,0.0,0.0,599,Longchamps,conjunto colchones super lujo,conjuntos,1 plaza,Nuevo,,espuma,taurus,,,310000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchones super lujo|colchones|1 plaza|nuevo||taurus:1",623,Vidriera,conjunto colchon super lujo,conjuntos,1 plaza,Nuevo,,espuma,taurus,,,310000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon super lujo|colchones|1 plaza|nuevo||taurus:1"
producto,0.9903,1.0,1.0,0.8889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,123,Longchamps,banco plegable,comedor,"1,50m",Nuevo,,pino,ramon,,,31000.00,0.00,9,0,,313,Vidriera,banco plegable,comedor,"1,50",Nuevo,,pino,ramon,,,31000.00,0.00,2,0,
producto,0.9903,1.0,1.0,0.8889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,42,Estacion,banco plegable,comedor,"1,50m",Nuevo,,pino,ramon,,,31000.00,0.00,2,0,,313,Vidriera,banco plegable,comedor,"1,50",Nuevo,,pino,ramon,,,31000.00,0.00,2,0,
producto,0.9903,1.0,1.0,0.8889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,43,Estacion,mesa plegable,comedor,"1,50m",Nuevo,,pino,ramon,,,62000.00,0.00,1,0,,311,Vidriera,mesa plegable,comedor,"1,50",Nuevo,,pino,ramon,,,62000.00,0.00,1,0,
producto,0.9903,1.0,1.0,0.8889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,122,Longchamps,mesa plegable,comedor,"1,50m",Nuevo,,pino,ramon,,,62000.00,0.00,3,0,,311,Vidriera,mesa plegable,comedor,"1,50",Nuevo,,pino,ramon,,,62000.00,0.00,1,0,
combo,0.9894,1.0,1.0,0.9231,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,630,Vidriera,conjunto colchon equis,conjuntos,1 plaza,Nuevo,,resosrte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1",613,Longchamps,conjunto colchon equis,conjuntos,1plaza,Nuevo,,resorte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1"
combo,0.9894,1.0,1.0,0.9231,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,630,Vidriera,conjunto colchon equis,conjuntos,1 plaza,Nuevo,,resosrte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1",614,Vidriera,conjunto colchon equis,conjuntos,1plaza,Nuevo,,resorte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1"
combo,0.9894,1.0,1.0,0.9231,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,631,Longchamps,conjunto colchon equis,conjuntos,1 plaza,Nuevo,,resosrte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1",613,Longchamps,conjunto colchon equis,conjuntos,1plaza,Nuevo,,resorte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1"
combo,0.9894,1.0,1.0,0.9231,1.0,1.0,0.9333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,631,Longchamps,conjunto colchon equis,conjuntos,1 plaza,Nuevo,,resosrte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1",614,Vidriera,conjunto colchon equis,conjuntos,1plaza,Nuevo,,resorte,taurus,,,374000.00,0.00,0,1,"box|box|1 plaza|nuevo|negro|taurus:1,colchon equis|colchones|1 plaza|nuevo||taurus:1"
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60000.0,0.25,0.0,0.0,80,Estacion,colchon real,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,240000.00,0.00,1,0,,222,Vidriera,colchon real,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,180000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60000.0,0.25,0.0,0.0,232,Vidriera,colchon real,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,240000.00,0.00,1,0,,222,Vidriera,colchon real,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,180000.00,0.00,1,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,98,Longchamps,colchon estandar 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,1,0,,65,Estacion,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,3,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,98,Longchamps,colchon estandar 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,1,0,,207,Vidriera,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,2,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14000.0,0.1772,0.0,0.0,209,Vidriera,colchon standard 17alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,79000.00,0.00,1,0,,65,Estacion,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,3,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14000.0,0.1772,0.0,0.0,209,Vidriera,colchon standard 17alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,79000.00,0.00,1,0,,207,Vidriera,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,2,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14000.0,0.1772,0.0,0.0,66,Estacion,colchon standard 17alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,79000.00,0.00,1,0,,65,Estacion,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,3,0,
producto,0.9887,0.9565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14000.0,0.1772,0.0,0.0,66,Estacion,colchon standard 17alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,79000.00,0.00,1,0,,207,Vidriera,colchon standard 13alto,dormitorio,1 plaza,Nuevo,,espuma,taurus,,,65000.00,0.00,2,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,115,Longchamps,colchon super lujo,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,315000.00,0.00,7,0,,226,Vidriera,colchon super lujo,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,245000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,82,Estacion,colchon super lujo,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,315000.00,0.00,1,0,,226,Vidriera,colchon super lujo,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,245000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,236,Vidriera,colchon super lujo,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,315000.00,0.00,1,0,,226,Vidriera,colchon super lujo,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,245000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,114,Longchamps,colchon palace sin pillow,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,315000.00,0.00,1,0,,107,Longchamps,colchon palace sin pillow,dormitorio,1 1/2 plaza,Nuevo,,resorte,taurus,,,245000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,114,Longchamps,colchon palace sin pillow,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,315000.00,0.00,1,0,,224,Vidriera,colchon palace sin pillow,dormitorio,1 1/2 plaza,Nuevo,,resorte,taurus,,,245000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,107,Longchamps,colchon palace sin pillow,dormitorio,1 1/2 plaza,Nuevo,,resorte,taurus,,,245000.00,0.00,1,0,,234,Vidriera,colchon palace sin pillow,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,315000.00,0.00,2,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70000.0,0.2222,0.0,0.0,224,Vidriera,colchon palace sin pillow,dormitorio,1 1/2 plaza,Nuevo,,resorte,taurus,,,245000.00,0.00,1,0,,234,Vidriera,colchon palace sin pillow,dormitorio,2 1/2 plazas,Nuevo,,resorte,taurus,,,315000.00,0.00,2,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100000.0,0.2439,0.0,0.0,228,Vidriera,colchon gold jackard,dormitorio,1 1/2 plaza,Nuevo,,espuma,taurus,,,310000.00,0.00,1,0,,238,Vidriera,colchon gold jackard,dormitorio,2 1/2 plazas,Nuevo,,espuma,taurus,,,410000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,95,Longchamps,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,2,0,,256,Vidriera,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,95,Longchamps,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,2,0,,96,Longchamps,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,26,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,256,Vidriera,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,1,0,,229,Vidriera,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,0,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,256,Vidriera,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,1,0,,78,Estacion,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,1,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,229,Vidriera,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,0,0,,96,Longchamps,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,26,0,
producto,0.9887,1.0,1.0,0.8696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18000.0,0.1132,0.0,0.0,78,Estacion,box,dormitorio,1 1/2 plaza,Nuevo,negro,chenille,taurus,,,141000.00,0.00,1,0,,96,Longchamps,box,dormitorio,2 1/2 plazas,Nuevo,negro,chenille,taurus,,,159000.00,0.00,26,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178000.0,0.2713,0.0,0.0,467,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,656000.00,0.00,1,0,,481,Longchamps,placard darkar 8 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,478000.00,0.00,1,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91000.0,0.1599,0.0,0.0,478,Longchamps,placard darkar 10 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,569000.00,0.00,1,0,,481,Longchamps,placard darkar 8 puertas de abrir,dormitorio,,Nuevo,avellana,melamina,mosconi,,,478000.00,0.00,1,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87000.0,0.1326,0.0,0.0,469,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,venezia,melamina,mosconi,,,656000.00,0.00,1,0,,477,Longchamps,placard dakar 10 puertas de abrir,dormitorio,,Nuevo,venezia,melamina,mosconi,,,569000.00,0.00,2,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178000.0,0.2713,0.0,0.0,480,Longchamps,placard darkar 8 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,478000.00,0.00,2,0,,468,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,656000.00,0.00,1,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91000.0,0.1599,0.0,0.0,480,Longchamps,placard darkar 8 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,478000.00,0.00,2,0,,479,Longchamps,placard darkar 10 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,569000.00,0.00,1,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,247000.0,0.3765,0.0,0.0,468,Longchamps,placard darkar 12 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,656000.00,0.00,1,0,,483,Longchamps,placard darkar 6 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,409000.00,0.00,1,0,
producto,0.9883,0.9552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160000.0,0.2812,0.0,0.0,479,Longchamps,placard darkar 10 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,569000.00,0.00,1,0,,483,Longchamps,placard darkar 6 puertas de abrir,dormitorio,,Nuevo,malta,melamina,mosconi,,,409000.00,0.00,1,0,
